Name,Street Dir,Street Num
Mannheim Rd,W,10400
Manor Dr,W,2734
Manton Ave,W,5600
Maple St,N,1100
Maplewood Ave,W,2532
Marble Pl,S,120
Marcey St,W,1000
Margate Terrace,N,4930
Maria Court,W,8500
Marine Dr,W,610
Marion Court,W,1838
Markham Ave,W,5900
Marmora Ave,W,5900
Marquette Rd,E,500
Marquette Rd,S,6700
Marquette Dr,S,6600
Marquette Ave,E,2700
Marshall Blvd,W,2900
Marshfield Ave,W,1632
"Dr Martin Luther King, Jr Dr",E,344
Maryland Ave,E,832
Mason Dr,W,5932
Mason Ave,W,5932
Massasoit Ave,W,5732
Matson Ave,N,6146
Maud Ave,W,1000
Mautene Court,W,1632
Maxwell St,S,1330
May St,W,1132
Mayfield Ave,W,5900
Maypole Ave,N,134
Mcalpin Ave,W,6300
Mcclellan Ave,W,5600
Mcclurg Court,E,400
Mccook Ave,W,6022
Mccormick Rd,W,3300
Mccrea Dr,W,3356
Mccutcheon Terrace,W,944
Mcdermott St,W,1400
Mcdowell Ave,W,1404
Mcfetridge Dr,S,1326
Mclean Ave,N,2034
Mcleod Ave,W,6246
Mcvicker Ave,W,6032
Meade Ave,W,6100
Medford Ave,W,6200
Medill Ave,N,2334
Medina Ave,W,6158
Melrose St,N,3232
Melvina Ave,W,6200
Memory Lane,N,5146
Menard Dr,W,5800
Menard Ave,W,5800
Mendell St,W,1500
Mendota Ave,W,6224
Menomonee St,N,1800
Merchandise Mart Plaza,N,318
Meredith Ave,W,5626
Merrill Ave,E,2132
Merrimac Ave,W,6234
Merrion Ave,E,2214
Meyer Ave,W,510
Miami Ave,N,6124
Michigan Ave,E,100
Midway Park,N,500
Midway Plaisance,S,5900
Midway Plaisance Dr,S,5900
Mies Van Der Rohe Way,E,200
Mildred Ave,W,900
Millard Ave,W,3632
Miller St,W,1028
Miltimore Ave,W,5834
Milwaukee Ave,W,500
Minerva Ave,E,1132
Minnehaha Ave,W,5400
Minnetonka Ave,W,5626
Mobile Ave,W,6300
Moffat St,N,1832
Mohawk St,W,532
Monitor Ave,W,5832
Monon Ave,W,6234
Monroe St,S,100
Monroe Dr,S,100
Monroe Pkwy,S,36
Monsignor Mcelligott Ave,S,10200
Mont Clare Ave,W,7132
Montana St,N,2432
Monterey Ave,S,11200
Montgomery Ave,S,4122
Monticello Ave,W,3632
Montrose Ave,N,4400
Montrose Harbor Dr,N,4400
Montvale Ave,S,11334
Moody Ave,W,6132
Moorman St,W,1700
Morgan Dr,S,5500
Morgan St,W,1000
Morse Ave,N,6944
Moselle Ave,W,6300
Mozart Dr,W,2832
Mozart St,W,2832
Mulligan Ave,W,6332
Museum Dr,S,5700
Music Court Dr,S,112
Muskegon Ave,E,2838
Myrick St,S,7852
Myrtle Ave,N,6200
Nagle Ave,W,6432
Naper Ave,W,6600
Naples Ave,W,6400
Napoleon Ave,W,6440
Narragansett Ave,W,6400
Nashotah Ave,W,6524
Nashville Ave,W,6600
Nassau Ave,W,6400
Natchez Ave,W,6434
Natoma Ave,W,6600
Navajo Ave,W,5300
Naval Armory Dr,S,5200
Navarre Ave,W,6420
Neenah Ave,W,6532
Nelson St,N,3032
Neola Ave,W,6700
Nettleton Ave,W,6800
Neva Ave,W,7132
New St,E,341
New England Ave,W,6900
New Hampshire Ave,W,7000
Newark Ave,W,6700
Newberry Ave,W,828
Newburg Ave,W,6400
Newcastle Ave,W,6834
Newgard Ave,W,1432
Newland Ave,W,6932
Newport Ave,N,3432
Niagara Ave,W,7000
Nickerson Ave,W,6900
Nicolet Ave,W,7044
Nina Ave,W,7200
Nixon Ave,W,7032
Noble St,W,1400
Nokomis Ave,W,5300
Nora Ave,W,7032
Nordica Ave,W,7100
Normal Pkwy,S,6734
Normal Ave,W,500
Normal Blvd,W,500
Normandy Ave,W,6700
North Blvd,N,1600
North Ave,N,1600
North Branch St,W,800
North Park Ave,W,300
North Shore Ave,N,6700
North Water St,N,400
North West Hwy,W,5400
Northcott Ave,W,6900
Norwood St,N,6032
Nottingham Ave,N,7100
Oak St,N,1000
Oak Park Ave,W,6800
Oakdale Ave,N,2932
Oakenwald Ave,E,1100
Oakley Blvd,W,2300
Oakley Ave,W,2300
Oakview Ave,W,8700
Oakwood Blvd,S,3946
Oakwood Dr,S,3946
Oconto Ave,W,7232
Octavia Ave,W,7300
Odell Ave,W,7332
Ogallah Ave,W,7542
Ogden Ave,S,1
Ogden Ave,W,1544
Oglesby Ave,E,2332
Ohio St,N,600
Oketo Ave,W,7400
Olcott Ave,W,7500
Old Tow Court,N,1212
Oleander Ave,W,7532
Oliphant Ave,W,7800
Olive Ave,N,5632
Olmsted Ave,W,7400
Olympia Ave,W,7700
Onarga Ave,W,7800
Oneida Ave,W,7700
Ontario S,N,628
Opal Ave,W,7832
Orange Ave,W,7900
Orchard St,W,700
Oriole Ave,W,7600
Orleans St,W,340
Osage Ave,W,7932
Osceola Ave,W,7432
Oshkosh Ave,W,7800
Oswego St,W,1650
Otsego Ave,W,7614
Ottawa Ave,W,7632
Otto Ave,W,6920
Overhill Ave,W,7700
Owen Ave,W,7700
Oxford Ave,W,7740
Ozanam Ave,W,7800
Ozark Ave,W,7732
Pacific Ave,W,8000
Packers Ave,W,1324
Page Ave,W,8032
Palatine Ave,N,6300
Palmer St,N,2200
Palmer Blvd,N,2200
Panama Ave,W,8100
Paris Ave,W,8132
Park Dr,E,310
Park Terrace,W,60
Park Pl,S,5520
Park Shore East Court,E,1536
Parker Ave,N,2732
Parkside Ave,W,5632
Parkview Terrace,W,3632
Parnell Ave,W,532
Patterson Ave,N,3632
Patton Dr,W,10500
Patton Ave,W,8414
Paulina St,W,1700
Paxton Ave,E,2200
Payne Dr,E,800
Pearson St,N,830
Pensacola Ave,N,4332
Peoria St,W,900
Peoria Dr,W,800
Perry Ave,W,100
Pershing Rd,S,3900
Pershing Pl,S,3920
Peshtigo Court,E,500
Peterson Ave,N,6000
Phillips Ave,E,2432
Picardy Pl,W,1810
Pier Court,W,2718
Pierce Ave,N,1532
Pine Ave,W,5500
Pine Grove Ave,W,500
Pioneer Ave,W,8200
Pippin St,S,7652
Pittsburgh Ave,W,8232
Plainfield Ave,W,8300
Pleasant Ave,W,2136
Plymouth Court,W,30
Poe St,W,1013
Point St,W,2648
Polk St,S,800
Pollock St,W,2608
Ponchartrain Blvd,W,5700
Pontiac Ave,W,8332
Pool Dr,S,5512
Pope John Paul II Dr,S,4300
Poplar Ave,W,1000
Portland Ave,W,252
Post Pl,W,228
Potawatomie Ave,W,8630
Potomac Ave,N,1300
Prairie Ave,E,300
Prairie Pkwy,E,312
Prairie Park Pl,E,300
Pratt Blvd,N,6800
Pratt Ave,N,6800
Prescott Ave,W,5500
Princeton Ave,W,300
Prindiville St,N,2246
Promontory Dr,E,2124
Prospect Ave,W,1721
Prospect Square,W,1800
Pryor Ave,S,11156
Public Way,S,6014
Pueblo Ave,W,8400
Pulaski Rd,W,4000
Quincy St,S,220
Quinn St,W,1000
Race Ave,N,526
Racine Ave,W,1200
Railroad Ave,S,900
Rainey Dr,S,5520
Randolph St,N,150
Rascher Ave,N,5432
Raven St,N,6300
Ravenswood Ave,W,1800
Redfield Dr,S,3530
Redwood Ave,W,8000
Redwood Dr,W,8000
Reilly Ave,W,3716
Reserve Ave,W,8730
Reta Ave,W,832
Rhodes Ave,E,532
Rice St,N,832
Richards Dr,E,1900
Richmond St,W,2932
Ridge Ave,W,1200
Ridge Blvd,W,1900
Ridgeland Ave,E,1732
Ridgeway Ave,W,3732
Ridgewood Court,E,1368
Ritchie Court,E,62
Riverdale Ave,E,432
River Dr,N,404
River Loft Court,N,2900
Riverside Plaza,W,416
Riverview Pkwy,N,3256
Riverwalk,N,300
Riverwalk,N,342
Robinson St,W,1700
Rochdale Pl,S,5474
Rockwell Ave,W,2600
Rockwell St,W,2600
Rogers Ave,W,5212
Roosevelt Rd,S,1200
Roosevelt Dr,S,1200
Root St,S,4134
Roscoe St,N,3400
Rose St,W,9536
Rosedale Ave,N,5900
Rosehill Dr,N,5800
Rosemont Ave,N,6300
Roslyn Pl,N,2500
Ross Ave,W,200
Ruble St,W,652
Rumsey Ave,S,8500
Rundell Pl,S,14
Rush St,E,65
Russell Dr,E,536
Rutherford Ave,W,6732
Sacramento Blvd,W,3000
Sacramento Dr,W,3000
Sacramento Square,N,442
Sacramento Ave,W,3000
Saginaw Ave,E,2638
Sandburg Terrace,W,118
Sanford Ave,W,9700
Sangamon St,W,932
Sauganash Ave,W,4140
Sauganash Lane,W,4232
Sawyer Ave,W,3232
Sayre Ave,W,6958
Schick Pl,W,500
Schiller St,N,1400
School St,N,3300
Schorsch St,N,3314
Schraeder Dr,N,134
Schreiber Ave,N,6432
Schubert Ave,N,2700
Scott St,N,240
Scottsdale Ave,S,8100
Sedgwick St,W,400
Seeley Ave,W,2032
Seipp St,S,8540
Sell Court,W,12410
Sell Rd,N,6946
Seminary Ave,W,1100
Seminole St,N,5700
Senour Ave,W,1100
Serbian Rd,N,5710
Seymour Ave,N,4000
Shakespeare Ave,N,2132
Shapland Ave,W,9800
Sheffield Ave,W,1000
Shelby Court,W,966
Sheridan RD,W,400
Sherman St,W,156
Sherwin Ave,N,7332
Shields Ave,W,328
Shore Dr,E,1800
Short St,W,1400
Simonds Dr,W,800
Sioux Ave,W,5400
Solidarity Dr,S,1250
Somerset Ave,N,5600
South Chicago Ave,E,400
Southport Ave,W,1400
South Shore Dr,E,2400
South Water St,N,300
South Water Market,S,1435
Spaulding Ave,W,3300
Spokane Ave,W,5340
Springfield Ave,W,3900
St Clair St,E,200
St Georges Court,N,2260
St Helen St,N,2114
St James Pl,N,2520
St Johns Court,W,4250
St Joseph Ave,N,5140
St Lawrence Ave,E,600
St Lawrence Dr,E,600
St Louis Ave,W,3500
St Mary St,N,2170
St Michaels Court,W,448
St Paul Ave,N,1732
Stark St,W,1100
State Line Rd,E,4100
Stave St,W,2540
Stephen A Douglas Dr,S,3500
Stetson Ave,E,154
Steuben St,S,11400
Stevens Ave,W,4028
Stewart Ave,W,400
Stockton Dr,W,67
Stone St,E,80
Stony Island Ave,E,1600
Stratford Pl,N,3480
Streeter Dr,E,588
Strong St,N,4932
Sullivan St,N,1306
Summerdale Ave,N,5332
Summit Ave,W,800
Sunnyside Ave,N,4500
Superior St,N,732
Surf St,N,2900
Surrey Court,W,1300
Sutton Pl,W,60
Swann St,S,4642
Tahoma Ave,W,5300
Talcott Ave,N,5400
Talman Ave,W,2632
Tan Court,W,300
Taylor St,S,1000
Terra Cotta Pl,N,2526
Thatcher Rd,W,8200
Thomas St,N,1100
Thome Ave,N,6300
Thompson Dr,W,2920
Thorndale Ave,N,5900
Throop Pkwy,W,1308
Throop St,W,1300
Tilden St,S,426
Tonty Ave,W,6150
Tooker Pl,N,862
Torrence Ave,E,2634
Touhy Ave,N,7200
Transit Ave,S,4000
Tremont St,S,5636
Tripp Ave,W,4232
Troy St,W,3132
Trumbull Ave,W,3432
Union Ave,W,700
University Lane,S,1400
University Ave,E,1144
Urban Ave,E,12
Van Buren St,S,400
Vanderpoel Ave,W,1800
Van Schaikave,S,10400
Van Vlissingen Rd,E,1800
Vermont St,S,12700
Vernon Ave,E,440
Vernon Park Pl,S,700
Veterans Pl,N,4870
Victoria St,N,5800
Village Court,S,1458
Vincennes Ave,E,600
Vine St,W,624
Virginia Ave,W,2632
Wabansia Ave,N,1700
Wabash Ave,E,44
Wacker Pl,N,300
Wacker Dr,N,340
Walden Pkwy,W,1800
Waldron D,S,1600
Wall St,W,1132
Wallace St,W,600
Wallen Ave,N,6634
Waller Ave,W,5700
Walnut St,N,234
Walter Burley Griffin Pl,S,10432
Walton St,N,932
Walton Pl,N,932
Warner Ave,N,4132
Warren Ave,N,23
Warren Blvd,N,34
Warren Dr,N,34
Warwick Ave,N,3732
Waseca Pl,S,11300
Washburneave,S,1232
Washington St,N,100
Washington Blvd,N,100
Washington Park,E,432
Washington Park Court,E,432
Washtenaw Ave,W,2700
Waterloo Court,W,646
Watkins Ave,W,1756
Waukesha Ave,W,5700
Waveland Ave,N,3700
Wayman St,N,320
Wayne Ave,W,1332
Webster Dr,N,2200
Webster Ave,N,2200
Weed St,N,1532
Wellington Ave,N,3000
Wells St,W,200
Wendell St,N,1028
Wentworth Ave,W,200
Wesley Terrace,W,9500
West Circle Ave,W,7044
West End Dr,N,200
West End Ave,N,200
West Water St,W,416
Western Ave,W,2400
Western Blvd,W,2400
Westgate Terrace,S,614
Westshore Dr,E,1800
Whipple St,W,3032
Wieland St,W,224
Wilcox St,S,132
Wildwood Ave,W,6100
Willard Court,W,1226
Willetts Court,W,3000
Williams Ave,E,210
Willow St,N,1740
Wilmot Ave,W,2100
Wilson Dr,N,4600
Wilson Ave,N,4600
Wilton Ave,W,932
Winchester Ave,W,1932
Windsor Ave,N,4532
Winnebago Ave,W,2200
Winneconna Pkwy,S,7800
Winnemac Ave,N,5032
Winona St,N,5100
Winston Ave,W,1500
Winthrop Ave,W,1100
Wisconsin St,N,1900
Wisner Ave,W,3500
Wolcott Ave,W,1900
Wolf Rd,W,11200
Wolfram St,N,2832
Wood St,W,1800
Woodard St,W,3400
Woodlawn Ave,E,1200
Woodward Dr,W,3632
Wrightwood Ave,N,2600
Yale Ave,W,232
Yates Blvd,E,2400
Yates Ave,E,2435
York Rd,W,12600
Zemke Rd,N,6400
8th St,S,800
9th St,S,900
11th St,S,1100
11th St,S,1130
12th Pl,S,1232
13th St,S,1300
13th Pl,S,1332
14th Pl,S,1432
14th St,S,1400
15th St,S,1500
15th Pl,S,1532
16th St,S,1600
16th Pl,S,1632
17th St,S,1700
17th Pl,S,1732
18th St,S,1800
18th Pl,S,1832
18th Dr,S,1800
19th St,S,1900
19th Pl,S,1932
20th Pl,S,2032
21st St,S,2100
21st Pl,S,2132
22nd Pl,S,2232
23rd Pl,S,2332
23rd St,S,2300
23rd Dr,S,2300
24th St,S,2400
24th Pl,S,2432
24th Blvd,S,2400
25th Pl,S,2532
25th St,S,2500
26th Pl,S,2632
26th St,S,2600
27th St,S,2700
28th St,S,2800
28th Pl,S,2832
29th Pl,S,2932
29th St,S,2900
30th Pl,S,3032
30th St,S,3000
31st Pl,S,3132
31st Dr,S,3100
31st Blvd,S,3100
31st St,S,3100
32nd Pl,S,3232
32nd St,S,3200
33rd Blvd,S,3300
33rd Pl,S,3332
33rd St,S,3300
34th St,S,3400
34th Pl,S,3432
35th Pl,S,3532
35th St,S,3500
36th Pl,S,3632
36th St,S,3600
37th Pl,S,3732
37th St,S,3700
38th Pl,S,3832
38th St,S,3800
39th Pl,S,3932
40th St,S,4000
40th Pl,S,4032
41st Pl,S,4132
41st St,S,4100
42nd Pl,S,4232
42nd St,S,4200
43rd Pl,S,4332
43rd St,S,4300
44th St,S,4400
44th Pl,S,4432
45th Pl,S,4543
45th St,S,4500
46th Pl,S,4732
46th St,S,4600
47th Pl,S,4732
47th St,S,4700
47th Dr,S,4700
48th Pl,S,4832
48th St,S,4800
49th Pl,S,4932
49th St,S,4900
49th Dr,S,4900
50th Pl,S,5032
50th St,S,5000
51st Pl,S,5132
51st St,S,5100
52nd Pl,S,5232
52nd St,S,5200
53rd Pl,S,5332
53rd St,S,5300
53rd Dr,S,5300
54th Pl,S,5432
54th St,S,5400
55th Dr,S,5500
55th Pl,S,5532
55th St,S,5500
56th Pl,S,5632
56th St,S,5600
57th Pl,S,5732
57th Dr,S,5700
57th St,S,5700
58th Pl,S,5832
58th St,S,5800
59th Pl,S,5932
59th St,S,5900
60th Pl,S,6032
60th St,S,6000
61st Pl,S,6132
61st St,S,6130
62nd Pl,S,6232
62nd St,S,6200
63rd Pkwy,S,6300
63rd Pl,S,6332
63rd St,S,6300
64th Pl,S,6432
64th St,S,6400
65th Pl,S,6532
65th St,S,6500
66th St,S,6600
66th Pl,S,6632
67th St,S,6700
67th Pl,S,6732
68th Pl,S,6832
68th St,S,6800
69th Pl,S,6932
69th St,S,6900
70th Pl,S,7032
70th St,S,7000
71st Pl,S,7132
71st St,S,7100
72nd Pl,S,7232
72nd St,S,7200
73rd Pl,S,7332
73rd St,S,7300
74th Pl,S,7432
74th St,S,7400
75th Pl,S,7532
75th St,S,7500
76th Pl,S,7632
76th St,S,7600
77th Pl,S,7732
77th St,S,7700
78th Pl,S,7832
78th St,S,7800
79th Pl,S,7932
79th St,S,7900
80th Pl,S,8032
80th St,S,8000
81st Pl,S,8132
81st St,S,8100
82nd Pl,S,8232
82nd St,S,8200
83rd Pl,S,8332
83rd St,S,8300
84th Pl,S,8432
84th St,S,8400
85th Pl,S,8532
85th St,S,8500
86th Pl,S,8632
86th St,S,8600
87th Pl,S,8732
87th St,S,8700
88th Pl,S,8832
88th St,S,8800
89th Pl,S,8932
89th St,S,8900
90th Pl,S,9032
90th St,S,9000
91st Pl,2,913
91st St,S,9100
92nd Pl,S,9232
92nd St,S,9200
93rd Pl,S,9332
93rd St,S,9300
93rd Court,S,9363
94th Pl,S,9419
94th St,S,9400
95th Pl,S,9532
95th St,S,9500
96th Pl,S,9632
96th St,S,9600
97th Pl,S,9732
97th St,S,9700
98th Pl,S,9832
98th St,S,9800
99th Pl,S,9932
99th St,S,9900
100th Pl,S,10032
100th St,S,10000
101st Pl,S,10132
101st St,S,10100
102nd Pl,S,10232
102nd St,S,10200
103rd Pl,S,10332
103rd St,S,10300
104th Pl,S,10432
104th St,S,10400
105th Pl,S,10532
105th St,S,10500
106th Pl,S,10632
106th St,S,10600
107th Pl,S,10732
107th St,S,10700
108th Pl,S,10832
108th St,S,10800
109th Pl,S,10932
109th St,S,10900
110th Pl,S,11032
110th St,S,11000
111th Pl,S,11132
111th St,S,11100
112th Pl,S,11232
112th St,S,11200
113th Pl,S,11332
113th St,S,11300
114th Pl,S,11432
114th St,S,11400
115th Pl,S,11532
115th St,S,11500
116th Pl,S,11632
116th St,S,11600
117th Pl,S,11732
117th St,S,11700
118th Pl,S,11832
118th St,S,11800
119th Pl,S,11932
119th St,S,11900
11th St,S,1100
11th Pl,S,1132
120th Pl,S,12032
120th St,S,12000
121st Pl,S,12132
121st St,S,12100
122nd Pl,S,12232
122nd St,S,12200
123rd St,S,12300
124th Pl,S,12432
124th St,S,12400
125th St,S,12500
125th Pl,S,12532
126th Pl,S,12632
126th St,S,12600
127th Pl,S,12732
127th St,S,12700
128th Pl,S,12832
128th St,S,12800
129th Pl,S,12932
129th St,S,12900
130th Pl,S,13032
130th St,S,13000
131st Pl,S,13132
131st St,S,13100
132nd St,S,13200
132nd Pl,S,13232
133rd St,S,13300
133rd Pl,S,13332
134th St,S,13400
134th Pl,S,13432
135th Pl,S,13532
135th St,S,13500
136th Pl,S,13632
136th St,S,13600
137th St,S,13700
138th St,S,13800
